year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
ALCWTCT1DD,2601.72,2356.118,3159.434,2177.466,3357.669,3145.085,3011.783,3436.604,2900.429,2113.164,3077.567,2759.305,2713.357,2991.82,2303.862,3146.378,3213.077,2923.482,2992.073,2470.656,3015.756,2862.05,2224.329,2762.995,3493.684,2917.458,2662.143,2890.937,2737.167,2604.779,2811.34,2328.397,3130.516,2617.835,2697.4,2648.362
ALCWTCT2DD,1912.974,1489.508,2119.976,1468.411,1584.148,1588.184,1637.475,1736.751,1501.839,1620.95,1475.065,1657.627,1706.602,1739.084,1785.253,1413.917,2006.32,1663.556,1208.428,1663.524,1512.372,1542.52,1418.205,1376.01,2369.962,2025.683,1746.054,2206.574,2585.794,1686.514,1885.191,1703.512,1722.496,1939.527,1612.467,1466.424
ALCWTCT3DD,2317.991,1571.407,1616.598,1430.473,1619.91,1787.051,1433.942,2026.661,1608.809,1308.555,1365.099,1650.689,1180.203,1814.865,1436.37,1678.661,1510.133,1755.893,1198.21,1955.705,1755.924,1671.629,1235.927,1240.374,2279.391,1619.531,1271.185,1753.906,1819.501,1375.884,1668.664,2117.075,2092.603,1609.597,1537.159,1419.782
ALCWTRS1DD,12393.773,11617.768,14118.699,11012.529,12792.169,14225.668999999998,13937.082999999999,14019.896999999999,11979.234,13389.838,11855.613000000001,12261.511,11853.815,15384.932,10127.974999999999,11754.886,14834.787,13590.692,10066.229000000001,13182.804,14047.805999999999,15634.194,10264.243,11852.173999999999,18846.386000000002,12883.338000000002,11903.358,15591.777,13101.473,12074.504,10902.562,12488.571,14453.011999999999,12502.542000000001,12869.779,12676.053
ALCWTRS2DD,14306.747,13107.276,16238.675000000001,12480.94,14376.317,15813.852999999997,15574.557999999999,15756.648,13481.073,15010.788,13330.678000000002,13919.138,13560.417000000001,17124.016,11913.228,13168.803,16841.107,15254.248,11274.657000000001,14846.328,15560.177999999998,17176.714,11682.448,13228.184,21216.348,14909.021,13649.412,17798.351,15687.267,13761.018,12787.753,14192.083,16175.507999999998,14442.069000000001,14482.246000000001,14142.476999999999
ALCWTRS3DD,16624.737999999998,14678.682999999999,17855.273,13911.413,15996.226999999999,17600.904,17008.5,17783.309,15089.882,16319.343,14695.777000000002,15569.827000000001,14740.62,18938.881,13349.597999999998,14847.464,18351.24,17010.141,12472.867000000002,16802.033,17316.102,18848.343,12918.375,14468.557999999999,23495.739,16528.552,14920.597,19552.256999999998,17506.768,15136.902,14456.417000000001,16309.158,18268.110999999997,16051.666000000001,16019.405,15562.258999999998
MKCWTCT1BD,915.206,841.664,817.445,604.167,634.883,612.019,573.135,722.364,646.583,667.712,594.201,550.871,688.589,906.692,594.233,604.387,662.414,830.942,532.864,773.578,529.3,714.953,689.882,603.851,891.68,767.082,580.735,672.316,728.639,783.67,496.66,516.812,648.506,522.772,576.636,865.159
MKCWTCT2BD,2114.457,2027.103,2453.564,2141.61,2489.452,2612.789,3068.863,2526.16,2069.739,2793.08,2334.642,2107.645,2187.085,3612.638,1708.494,1826.313,2998.601,3109.986,1524.955,2590.619,3566.217,2826.95,1601.808,2250.409,4530.714,2213.606,1918.524,2651.105,2782.327,2089.954,2154.287,2936.948,3195.133,3052.401,2302.759,1920.574
MKCWTCT3DD,2744.483,2512.694,2670.721,2772.33,2732.563,3279.082,3076.936,3055.712,2755.616,3415.601,2287.338,2386.613,2329.659,3600.875,2085.413,2233.853,2866.149,2814.935,2100.897,3305.919,3251.488,3572.083,2078.695,2622.281,4331.028,2583.366,2475.734,3485.8,2918.278,2692.701,2527.705,2915.566,3214.464,2743.38,3350.858,2570.026
MKCWTLK0BD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKCWTRS1BD,915.206,841.664,817.445,604.167,634.883,612.019,573.135,722.364,646.583,667.712,594.201,550.871,688.589,906.692,594.233,604.387,662.414,830.942,532.864,773.578,529.3,714.953,689.882,603.851,891.68,767.082,580.735,672.316,728.639,783.67,496.66,516.812,648.506,522.772,576.636,865.159
MKCWTRS2BD,3029.663,2868.767,3271.009,2745.777,3124.335,3224.808,3641.9979999999996,3248.524,2716.322,3460.792,2928.843,2658.516,2875.674,4519.33,2302.727,2430.7,3661.0150000000003,3940.928,2057.819,3364.197,4095.517,3541.903,2291.69,2854.26,5422.394,2980.688,2499.259,3323.4210000000003,3510.9660000000003,2873.6240000000003,2650.9469999999997,3453.7599999999998,3843.6389999999997,3575.173,2879.395,2785.733
MKCWTRS3DD,5774.146000000001,5381.460999999999,5941.73,5518.107,5856.898,6503.889999999999,6718.933999999999,6304.236,5471.938,6876.393,5216.1810000000005,5045.129,5205.3330000000005,8120.205,4388.139999999999,4664.553,6527.164000000001,6755.862999999999,4158.716,6670.116,7347.004999999999,7113.986,4370.385,5476.541,9753.422,5564.054,4974.993,6809.2210000000005,6429.244000000001,5566.325000000001,5178.652,6369.325999999999,7058.102999999999,6318.553,6230.253000000001,5355.759
XKCWTRS1WD,4017.907,3880.189,5017.535,3316.956,3577.602,4576.694,4206.366,4279.057,3606.867,4400.281,3561.865,4457.077,3935.125,4272.907,3435.973,3943.955,5094.546,3911.347,2915.44,4042.032,3685.045,5658.158,3669.529,3612.638,5599.28,4401.826,4266.222,5891.619,3935.062,3903.4,2912.57,3790.848,4264.393,3566.154,3942.126,4671.932
