,catchment,year,week,value,scenario,model
0,ohrid,2020,1,0.0,RCP26,e_hype
1,ohrid,2020,2,0.0,RCP26,e_hype
2,ohrid,2020,3,0.0,RCP26,e_hype
3,ohrid,2020,4,0.0,RCP26,e_hype
4,ohrid,2020,5,0.0,RCP26,e_hype
5,ohrid,2020,6,0.0,RCP26,e_hype
6,ohrid,2020,7,0.0,RCP26,e_hype
7,ohrid,2020,8,0.0,RCP26,e_hype
8,ohrid,2020,9,0.0,RCP26,e_hype
9,ohrid,2020,10,0.0,RCP26,e_hype
10,ohrid,2020,11,0.0,RCP26,e_hype
11,ohrid,2020,12,0.0,RCP26,e_hype
12,ohrid,2020,13,0.0,RCP26,e_hype
13,ohrid,2020,14,0.0,RCP26,e_hype
14,ohrid,2020,15,0.0,RCP26,e_hype
15,ohrid,2020,16,0.0,RCP26,e_hype
16,ohrid,2020,17,0.0,RCP26,e_hype
17,ohrid,2020,18,0.0,RCP26,e_hype
18,ohrid,2020,19,0.0,RCP26,e_hype
19,ohrid,2020,20,0.0,RCP26,e_hype
20,ohrid,2020,21,0.0,RCP26,e_hype
21,ohrid,2020,22,0.0,RCP26,e_hype
22,ohrid,2020,23,0.0,RCP26,e_hype
23,ohrid,2020,24,0.0,RCP26,e_hype
24,ohrid,2020,25,0.0,RCP26,e_hype
25,ohrid,2020,26,0.0,RCP26,e_hype
26,ohrid,2020,27,0.0,RCP26,e_hype
27,ohrid,2020,28,0.0,RCP26,e_hype
28,ohrid,2020,29,0.0,RCP26,e_hype
29,ohrid,2020,30,0.0,RCP26,e_hype
30,ohrid,2020,31,0.0,RCP26,e_hype
31,ohrid,2020,32,0.0,RCP26,e_hype
32,ohrid,2020,33,0.0,RCP26,e_hype
33,ohrid,2020,34,0.0,RCP26,e_hype
34,ohrid,2020,35,0.0,RCP26,e_hype
35,ohrid,2020,36,0.0,RCP26,e_hype
36,ohrid,2020,37,0.0,RCP26,e_hype
37,ohrid,2020,38,0.0,RCP26,e_hype
38,ohrid,2020,39,0.0,RCP26,e_hype
39,ohrid,2020,40,0.0,RCP26,e_hype
40,ohrid,2020,41,0.0,RCP26,e_hype
41,ohrid,2020,42,0.0,RCP26,e_hype
42,ohrid,2020,43,0.0,RCP26,e_hype
43,ohrid,2020,44,0.0,RCP26,e_hype
44,ohrid,2020,45,0.0,RCP26,e_hype
45,ohrid,2020,46,0.0,RCP26,e_hype
46,ohrid,2020,47,0.0,RCP26,e_hype
47,ohrid,2020,48,0.0,RCP26,e_hype
48,ohrid,2020,49,0.0,RCP26,e_hype
49,ohrid,2020,50,0.0,RCP26,e_hype
50,ohrid,2020,51,0.0,RCP26,e_hype
51,ohrid,2020,52,0.0,RCP26,e_hype
52,ohrid,2020,53,0.0,RCP26,e_hype
53,ohrid,2021,1,0.0,RCP26,e_hype
54,ohrid,2021,2,0.0,RCP26,e_hype
55,ohrid,2021,3,0.0,RCP26,e_hype
56,ohrid,2021,4,0.0,RCP26,e_hype
57,ohrid,2021,5,0.0,RCP26,e_hype
58,ohrid,2021,6,0.0,RCP26,e_hype
59,ohrid,2021,7,0.0,RCP26,e_hype
60,ohrid,2021,8,0.0,RCP26,e_hype
61,ohrid,2021,9,0.0,RCP26,e_hype
62,ohrid,2021,10,0.0,RCP26,e_hype
63,ohrid,2021,11,0.0,RCP26,e_hype
64,ohrid,2021,12,0.0,RCP26,e_hype
65,ohrid,2021,13,0.0,RCP26,e_hype
66,ohrid,2021,14,0.0,RCP26,e_hype
67,ohrid,2021,15,0.0,RCP26,e_hype
68,ohrid,2021,16,0.0,RCP26,e_hype
69,ohrid,2021,17,0.0,RCP26,e_hype
70,ohrid,2021,18,0.0,RCP26,e_hype
71,ohrid,2021,19,0.0,RCP26,e_hype
72,ohrid,2021,20,0.0,RCP26,e_hype
73,ohrid,2021,21,0.0,RCP26,e_hype
74,ohrid,2021,22,0.0,RCP26,e_hype
75,ohrid,2021,23,0.0,RCP26,e_hype
76,ohrid,2021,24,0.0,RCP26,e_hype
77,ohrid,2021,25,0.0,RCP26,e_hype
78,ohrid,2021,26,0.0,RCP26,e_hype
79,ohrid,2021,27,0.0,RCP26,e_hype
80,ohrid,2021,28,0.0,RCP26,e_hype
81,ohrid,2021,29,0.0,RCP26,e_hype
82,ohrid,2021,30,0.0,RCP26,e_hype
83,ohrid,2021,31,0.0,RCP26,e_hype
84,ohrid,2021,32,0.0,RCP26,e_hype
85,ohrid,2021,33,0.0,RCP26,e_hype
86,ohrid,2021,34,0.0,RCP26,e_hype
87,ohrid,2021,35,0.0,RCP26,e_hype
88,ohrid,2021,36,0.0,RCP26,e_hype
89,ohrid,2021,37,0.0,RCP26,e_hype
90,ohrid,2021,38,0.0,RCP26,e_hype
91,ohrid,2021,39,0.0,RCP26,e_hype
92,ohrid,2021,40,0.0,RCP26,e_hype
93,ohrid,2021,41,0.0,RCP26,e_hype
94,ohrid,2021,42,0.0,RCP26,e_hype
95,ohrid,2021,43,0.0,RCP26,e_hype
96,ohrid,2021,44,0.0,RCP26,e_hype
97,ohrid,2021,45,0.0,RCP26,e_hype
98,ohrid,2021,46,0.0,RCP26,e_hype
99,ohrid,2021,47,0.0,RCP26,e_hype
100,ohrid,2021,48,0.0,RCP26,e_hype
101,ohrid,2021,49,0.0,RCP26,e_hype
102,ohrid,2021,50,0.0,RCP26,e_hype
103,ohrid,2021,51,0.0,RCP26,e_hype
104,ohrid,2021,52,0.0,RCP26,e_hype
105,ohrid,2021,53,0.0,RCP26,e_hype
106,ohrid,2022,1,0.0,RCP26,e_hype
107,ohrid,2022,2,0.0,RCP26,e_hype
108,ohrid,2022,3,0.0,RCP26,e_hype
109,ohrid,2022,4,0.0,RCP26,e_hype
110,ohrid,2022,5,0.0,RCP26,e_hype
111,ohrid,2022,6,0.0,RCP26,e_hype
112,ohrid,2022,7,0.0,RCP26,e_hype
113,ohrid,2022,8,0.0,RCP26,e_hype
114,ohrid,2022,9,0.0,RCP26,e_hype
115,ohrid,2022,10,0.0,RCP26,e_hype
116,ohrid,2022,11,0.0,RCP26,e_hype
117,ohrid,2022,12,0.0,RCP26,e_hype
118,ohrid,2022,13,0.0,RCP26,e_hype
119,ohrid,2022,14,0.0,RCP26,e_hype
120,ohrid,2022,15,0.0,RCP26,e_hype
121,ohrid,2022,16,0.0,RCP26,e_hype
122,ohrid,2022,17,0.0,RCP26,e_hype
123,ohrid,2022,18,0.0,RCP26,e_hype
124,ohrid,2022,19,0.0,RCP26,e_hype
125,ohrid,2022,20,0.0,RCP26,e_hype
126,ohrid,2022,21,0.0,RCP26,e_hype
127,ohrid,2022,22,0.0,RCP26,e_hype
128,ohrid,2022,23,0.0,RCP26,e_hype
129,ohrid,2022,24,0.0,RCP26,e_hype
130,ohrid,2022,25,0.0,RCP26,e_hype
131,ohrid,2022,26,0.0,RCP26,e_hype
132,ohrid,2022,27,0.0,RCP26,e_hype
133,ohrid,2022,28,0.0,RCP26,e_hype
134,ohrid,2022,29,0.0,RCP26,e_hype
135,ohrid,2022,30,0.0,RCP26,e_hype
136,ohrid,2022,31,0.0,RCP26,e_hype
137,ohrid,2022,32,0.0,RCP26,e_hype
138,ohrid,2022,33,0.0,RCP26,e_hype
139,ohrid,2022,34,0.0,RCP26,e_hype
140,ohrid,2022,35,0.0,RCP26,e_hype
141,ohrid,2022,36,0.0,RCP26,e_hype
142,ohrid,2022,37,0.0,RCP26,e_hype
143,ohrid,2022,38,0.0,RCP26,e_hype
144,ohrid,2022,39,0.0,RCP26,e_hype
145,ohrid,2022,40,0.0,RCP26,e_hype
146,ohrid,2022,41,0.0,RCP26,e_hype
147,ohrid,2022,42,0.0,RCP26,e_hype
148,ohrid,2022,43,0.0,RCP26,e_hype
149,ohrid,2022,44,0.0,RCP26,e_hype
150,ohrid,2022,45,0.0,RCP26,e_hype
151,ohrid,2022,46,0.0,RCP26,e_hype
152,ohrid,2022,47,0.0,RCP26,e_hype
153,ohrid,2022,48,0.0,RCP26,e_hype
154,ohrid,2022,49,0.0,RCP26,e_hype
155,ohrid,2022,50,0.0,RCP26,e_hype
156,ohrid,2022,51,0.0,RCP26,e_hype
157,ohrid,2022,52,0.0,RCP26,e_hype
158,ohrid,2023,1,0.0,RCP26,e_hype
159,ohrid,2023,2,0.0,RCP26,e_hype
160,ohrid,2023,3,0.0,RCP26,e_hype
161,ohrid,2023,4,0.0,RCP26,e_hype
162,ohrid,2023,5,0.0,RCP26,e_hype
163,ohrid,2023,6,0.0,RCP26,e_hype
164,ohrid,2023,7,0.0,RCP26,e_hype
165,ohrid,2023,8,0.0,RCP26,e_hype
166,ohrid,2023,9,0.0,RCP26,e_hype
167,ohrid,2023,10,0.0,RCP26,e_hype
168,ohrid,2023,11,0.0,RCP26,e_hype
169,ohrid,2023,12,0.0,RCP26,e_hype
170,ohrid,2023,13,0.0,RCP26,e_hype
171,ohrid,2023,14,0.0,RCP26,e_hype
172,ohrid,2023,15,0.0,RCP26,e_hype
173,ohrid,2023,16,0.0,RCP26,e_hype
174,ohrid,2023,17,0.0,RCP26,e_hype
175,ohrid,2023,18,0.0,RCP26,e_hype
176,ohrid,2023,19,0.0,RCP26,e_hype
177,ohrid,2023,20,0.0,RCP26,e_hype
178,ohrid,2023,21,0.0,RCP26,e_hype
179,ohrid,2023,22,0.0,RCP26,e_hype
180,ohrid,2023,23,0.0,RCP26,e_hype
181,ohrid,2023,24,0.0,RCP26,e_hype
182,ohrid,2023,25,0.0,RCP26,e_hype
183,ohrid,2023,26,0.0,RCP26,e_hype
184,ohrid,2023,27,0.0,RCP26,e_hype
185,ohrid,2023,28,0.0,RCP26,e_hype
186,ohrid,2023,29,0.0,RCP26,e_hype
187,ohrid,2023,30,0.0,RCP26,e_hype
188,ohrid,2023,31,0.0,RCP26,e_hype
189,ohrid,2023,32,0.0,RCP26,e_hype
190,ohrid,2023,33,0.0,RCP26,e_hype
191,ohrid,2023,34,0.0,RCP26,e_hype
192,ohrid,2023,35,0.0,RCP26,e_hype
193,ohrid,2023,36,0.0,RCP26,e_hype
194,ohrid,2023,37,0.0,RCP26,e_hype
195,ohrid,2023,38,0.0,RCP26,e_hype
196,ohrid,2023,39,0.0,RCP26,e_hype
197,ohrid,2023,40,0.0,RCP26,e_hype
198,ohrid,2023,41,0.0,RCP26,e_hype
199,ohrid,2023,42,0.0,RCP26,e_hype
200,ohrid,2023,43,0.0,RCP26,e_hype
201,ohrid,2023,44,0.0,RCP26,e_hype
202,ohrid,2023,45,0.0,RCP26,e_hype
203,ohrid,2023,46,0.0,RCP26,e_hype
204,ohrid,2023,47,0.0,RCP26,e_hype
205,ohrid,2023,48,0.0,RCP26,e_hype
206,ohrid,2023,49,0.0,RCP26,e_hype
207,ohrid,2023,50,0.0,RCP26,e_hype
208,ohrid,2023,51,0.0,RCP26,e_hype
209,ohrid,2023,52,0.0,RCP26,e_hype
210,ohrid,2024,1,0.0,RCP26,e_hype
211,ohrid,2024,2,0.0,RCP26,e_hype
212,ohrid,2024,3,0.0,RCP26,e_hype
213,ohrid,2024,4,0.0,RCP26,e_hype
214,ohrid,2024,5,0.0,RCP26,e_hype
215,ohrid,2024,6,0.0,RCP26,e_hype
216,ohrid,2024,7,0.0,RCP26,e_hype
217,ohrid,2024,8,0.0,RCP26,e_hype
218,ohrid,2024,9,0.0,RCP26,e_hype
219,ohrid,2024,10,0.0,RCP26,e_hype
220,ohrid,2024,11,0.0,RCP26,e_hype
221,ohrid,2024,12,0.0,RCP26,e_hype
222,ohrid,2024,13,0.0,RCP26,e_hype
223,ohrid,2024,14,0.0,RCP26,e_hype
224,ohrid,2024,15,0.0,RCP26,e_hype
225,ohrid,2024,16,0.0,RCP26,e_hype
226,ohrid,2024,17,0.0,RCP26,e_hype
227,ohrid,2024,18,0.0,RCP26,e_hype
228,ohrid,2024,19,0.0,RCP26,e_hype
229,ohrid,2024,20,0.0,RCP26,e_hype
230,ohrid,2024,21,0.0,RCP26,e_hype
231,ohrid,2024,22,0.0,RCP26,e_hype
232,ohrid,2024,23,0.0,RCP26,e_hype
233,ohrid,2024,24,0.0,RCP26,e_hype
234,ohrid,2024,25,0.0,RCP26,e_hype
235,ohrid,2024,26,0.0,RCP26,e_hype
236,ohrid,2024,27,0.0,RCP26,e_hype
237,ohrid,2024,28,0.0,RCP26,e_hype
238,ohrid,2024,29,0.0,RCP26,e_hype
239,ohrid,2024,30,0.0,RCP26,e_hype
240,ohrid,2024,31,0.0,RCP26,e_hype
241,ohrid,2024,32,0.0,RCP26,e_hype
242,ohrid,2024,33,0.0,RCP26,e_hype
243,ohrid,2024,34,0.0,RCP26,e_hype
244,ohrid,2024,35,0.0,RCP26,e_hype
245,ohrid,2024,36,0.0,RCP26,e_hype
246,ohrid,2024,37,0.0,RCP26,e_hype
247,ohrid,2024,38,0.0,RCP26,e_hype
248,ohrid,2024,39,0.0,RCP26,e_hype
249,ohrid,2024,40,0.0,RCP26,e_hype
250,ohrid,2024,41,0.0,RCP26,e_hype
251,ohrid,2024,42,0.0,RCP26,e_hype
252,ohrid,2024,43,0.0,RCP26,e_hype
253,ohrid,2024,44,0.0,RCP26,e_hype
254,ohrid,2024,45,0.0,RCP26,e_hype
255,ohrid,2024,46,0.0,RCP26,e_hype
256,ohrid,2024,47,0.0,RCP26,e_hype
257,ohrid,2024,48,0.0,RCP26,e_hype
258,ohrid,2024,49,0.0,RCP26,e_hype
259,ohrid,2024,50,0.0,RCP26,e_hype
260,ohrid,2024,51,0.0,RCP26,e_hype
261,ohrid,2024,52,0.0,RCP26,e_hype
262,ohrid,2025,1,0.0,RCP26,e_hype
263,ohrid,2025,2,0.0,RCP26,e_hype
264,ohrid,2025,3,0.0,RCP26,e_hype
265,ohrid,2025,4,0.0,RCP26,e_hype
266,ohrid,2025,5,0.0,RCP26,e_hype
267,ohrid,2025,6,0.0,RCP26,e_hype
268,ohrid,2025,7,0.0,RCP26,e_hype
269,ohrid,2025,8,0.0,RCP26,e_hype
270,ohrid,2025,9,0.0,RCP26,e_hype
271,ohrid,2025,10,0.0,RCP26,e_hype
272,ohrid,2025,11,0.0,RCP26,e_hype
273,ohrid,2025,12,0.0,RCP26,e_hype
274,ohrid,2025,13,0.0,RCP26,e_hype
275,ohrid,2025,14,0.0,RCP26,e_hype
276,ohrid,2025,15,0.0,RCP26,e_hype
277,ohrid,2025,16,0.0,RCP26,e_hype
278,ohrid,2025,17,0.0,RCP26,e_hype
279,ohrid,2025,18,0.0,RCP26,e_hype
280,ohrid,2025,19,0.0,RCP26,e_hype
281,ohrid,2025,20,0.0,RCP26,e_hype
282,ohrid,2025,21,0.0,RCP26,e_hype
283,ohrid,2025,22,0.0,RCP26,e_hype
284,ohrid,2025,23,0.0,RCP26,e_hype
285,ohrid,2025,24,0.0,RCP26,e_hype
286,ohrid,2025,25,0.0,RCP26,e_hype
287,ohrid,2025,26,0.0,RCP26,e_hype
288,ohrid,2025,27,0.0,RCP26,e_hype
289,ohrid,2025,28,0.0,RCP26,e_hype
290,ohrid,2025,29,0.0,RCP26,e_hype
291,ohrid,2025,30,0.0,RCP26,e_hype
292,ohrid,2025,31,0.0,RCP26,e_hype
293,ohrid,2025,32,0.0,RCP26,e_hype
294,ohrid,2025,33,0.0,RCP26,e_hype
295,ohrid,2025,34,0.0,RCP26,e_hype
296,ohrid,2025,35,0.0,RCP26,e_hype
297,ohrid,2025,36,0.0,RCP26,e_hype
298,ohrid,2025,37,0.0,RCP26,e_hype
299,ohrid,2025,38,0.0,RCP26,e_hype
300,ohrid,2025,39,0.0,RCP26,e_hype
301,ohrid,2025,40,0.0,RCP26,e_hype
302,ohrid,2025,41,0.0,RCP26,e_hype
303,ohrid,2025,42,0.0,RCP26,e_hype
304,ohrid,2025,43,0.0,RCP26,e_hype
305,ohrid,2025,44,0.0,RCP26,e_hype
306,ohrid,2025,45,0.0,RCP26,e_hype
307,ohrid,2025,46,0.0,RCP26,e_hype
308,ohrid,2025,47,0.0,RCP26,e_hype
309,ohrid,2025,48,0.0,RCP26,e_hype
310,ohrid,2025,49,0.0,RCP26,e_hype
311,ohrid,2025,50,0.0,RCP26,e_hype
312,ohrid,2025,51,0.0,RCP26,e_hype
313,ohrid,2025,52,0.0,RCP26,e_hype
314,ohrid,2026,1,0.0,RCP26,e_hype
315,ohrid,2026,2,0.0,RCP26,e_hype
316,ohrid,2026,3,0.0,RCP26,e_hype
317,ohrid,2026,4,0.0,RCP26,e_hype
318,ohrid,2026,5,0.0,RCP26,e_hype
319,ohrid,2026,6,0.0,RCP26,e_hype
320,ohrid,2026,7,0.0,RCP26,e_hype
321,ohrid,2026,8,0.0,RCP26,e_hype
322,ohrid,2026,9,0.0,RCP26,e_hype
323,ohrid,2026,10,0.0,RCP26,e_hype
324,ohrid,2026,11,0.0,RCP26,e_hype
325,ohrid,2026,12,0.0,RCP26,e_hype
326,ohrid,2026,13,0.0,RCP26,e_hype
327,ohrid,2026,14,0.0,RCP26,e_hype
328,ohrid,2026,15,0.0,RCP26,e_hype
329,ohrid,2026,16,0.0,RCP26,e_hype
330,ohrid,2026,17,0.0,RCP26,e_hype
331,ohrid,2026,18,0.0,RCP26,e_hype
332,ohrid,2026,19,0.0,RCP26,e_hype
333,ohrid,2026,20,0.0,RCP26,e_hype
334,ohrid,2026,21,0.0,RCP26,e_hype
335,ohrid,2026,22,0.0,RCP26,e_hype
336,ohrid,2026,23,0.0,RCP26,e_hype
337,ohrid,2026,24,0.0,RCP26,e_hype
338,ohrid,2026,25,0.0,RCP26,e_hype
339,ohrid,2026,26,0.0,RCP26,e_hype
340,ohrid,2026,27,0.0,RCP26,e_hype
341,ohrid,2026,28,0.0,RCP26,e_hype
342,ohrid,2026,29,0.0,RCP26,e_hype
343,ohrid,2026,30,0.0,RCP26,e_hype
344,ohrid,2026,31,0.0,RCP26,e_hype
345,ohrid,2026,32,0.0,RCP26,e_hype
346,ohrid,2026,33,0.0,RCP26,e_hype
347,ohrid,2026,34,0.0,RCP26,e_hype
348,ohrid,2026,35,0.0,RCP26,e_hype
349,ohrid,2026,36,0.0,RCP26,e_hype
350,ohrid,2026,37,0.0,RCP26,e_hype
351,ohrid,2026,38,0.0,RCP26,e_hype
352,ohrid,2026,39,0.0,RCP26,e_hype
353,ohrid,2026,40,0.0,RCP26,e_hype
354,ohrid,2026,41,0.0,RCP26,e_hype
355,ohrid,2026,42,0.0,RCP26,e_hype
356,ohrid,2026,43,0.0,RCP26,e_hype
357,ohrid,2026,44,0.0,RCP26,e_hype
358,ohrid,2026,45,0.0,RCP26,e_hype
359,ohrid,2026,46,0.0,RCP26,e_hype
360,ohrid,2026,47,0.0,RCP26,e_hype
361,ohrid,2026,48,0.0,RCP26,e_hype
362,ohrid,2026,49,0.0,RCP26,e_hype
363,ohrid,2026,50,0.0,RCP26,e_hype
364,ohrid,2026,51,0.0,RCP26,e_hype
365,ohrid,2026,52,0.0,RCP26,e_hype
366,ohrid,2026,53,0.0,RCP26,e_hype
367,ohrid,2027,1,0.0,RCP26,e_hype
368,ohrid,2027,2,0.0,RCP26,e_hype
369,ohrid,2027,3,0.0,RCP26,e_hype
370,ohrid,2027,4,0.0,RCP26,e_hype
371,ohrid,2027,5,0.0,RCP26,e_hype
372,ohrid,2027,6,0.0,RCP26,e_hype
373,ohrid,2027,7,0.0,RCP26,e_hype
374,ohrid,2027,8,0.0,RCP26,e_hype
375,ohrid,2027,9,0.0,RCP26,e_hype
376,ohrid,2027,10,0.0,RCP26,e_hype
377,ohrid,2027,11,0.0,RCP26,e_hype
378,ohrid,2027,12,0.0,RCP26,e_hype
379,ohrid,2027,13,0.0,RCP26,e_hype
380,ohrid,2027,14,0.0,RCP26,e_hype
381,ohrid,2027,15,0.0,RCP26,e_hype
382,ohrid,2027,16,0.0,RCP26,e_hype
383,ohrid,2027,17,0.0,RCP26,e_hype
384,ohrid,2027,18,0.0,RCP26,e_hype
385,ohrid,2027,19,0.0,RCP26,e_hype
386,ohrid,2027,20,0.0,RCP26,e_hype
387,ohrid,2027,21,0.0,RCP26,e_hype
388,ohrid,2027,22,0.0,RCP26,e_hype
389,ohrid,2027,23,0.0,RCP26,e_hype
390,ohrid,2027,24,0.0,RCP26,e_hype
391,ohrid,2027,25,0.0,RCP26,e_hype
392,ohrid,2027,26,0.0,RCP26,e_hype
393,ohrid,2027,27,0.0,RCP26,e_hype
394,ohrid,2027,28,0.0,RCP26,e_hype
395,ohrid,2027,29,0.0,RCP26,e_hype
396,ohrid,2027,30,0.0,RCP26,e_hype
397,ohrid,2027,31,0.0,RCP26,e_hype
398,ohrid,2027,32,0.0,RCP26,e_hype
399,ohrid,2027,33,0.0,RCP26,e_hype
400,ohrid,2027,34,0.0,RCP26,e_hype
401,ohrid,2027,35,0.0,RCP26,e_hype
402,ohrid,2027,36,0.0,RCP26,e_hype
403,ohrid,2027,37,0.0,RCP26,e_hype
404,ohrid,2027,38,0.0,RCP26,e_hype
405,ohrid,2027,39,0.0,RCP26,e_hype
406,ohrid,2027,40,0.0,RCP26,e_hype
407,ohrid,2027,41,0.0,RCP26,e_hype
408,ohrid,2027,42,0.0,RCP26,e_hype
409,ohrid,2027,43,0.0,RCP26,e_hype
410,ohrid,2027,44,0.0,RCP26,e_hype
411,ohrid,2027,45,0.0,RCP26,e_hype
412,ohrid,2027,46,0.0,RCP26,e_hype
413,ohrid,2027,47,0.0,RCP26,e_hype
414,ohrid,2027,48,0.0,RCP26,e_hype
415,ohrid,2027,49,0.0,RCP26,e_hype
416,ohrid,2027,50,0.0,RCP26,e_hype
417,ohrid,2027,51,0.0,RCP26,e_hype
418,ohrid,2027,52,0.0,RCP26,e_hype
419,ohrid,2027,53,0.0,RCP26,e_hype
420,ohrid,2028,1,0.0,RCP26,e_hype
421,ohrid,2028,2,0.0,RCP26,e_hype
422,ohrid,2028,3,0.0,RCP26,e_hype
423,ohrid,2028,4,0.0,RCP26,e_hype
424,ohrid,2028,5,0.0,RCP26,e_hype
425,ohrid,2028,6,0.0,RCP26,e_hype
426,ohrid,2028,7,0.0,RCP26,e_hype
427,ohrid,2028,8,0.0,RCP26,e_hype
428,ohrid,2028,9,0.0,RCP26,e_hype
429,ohrid,2028,10,0.0,RCP26,e_hype
430,ohrid,2028,11,0.0,RCP26,e_hype
431,ohrid,2028,12,0.0,RCP26,e_hype
432,ohrid,2028,13,0.0,RCP26,e_hype
433,ohrid,2028,14,0.0,RCP26,e_hype
434,ohrid,2028,15,0.0,RCP26,e_hype
435,ohrid,2028,16,0.0,RCP26,e_hype
436,ohrid,2028,17,0.0,RCP26,e_hype
437,ohrid,2028,18,0.0,RCP26,e_hype
438,ohrid,2028,19,0.0,RCP26,e_hype
439,ohrid,2028,20,0.0,RCP26,e_hype
440,ohrid,2028,21,0.0,RCP26,e_hype
441,ohrid,2028,22,0.0,RCP26,e_hype
442,ohrid,2028,23,0.0,RCP26,e_hype
443,ohrid,2028,24,0.0,RCP26,e_hype
444,ohrid,2028,25,0.0,RCP26,e_hype
445,ohrid,2028,26,0.0,RCP26,e_hype
446,ohrid,2028,27,0.0,RCP26,e_hype
447,ohrid,2028,28,0.0,RCP26,e_hype
448,ohrid,2028,29,0.0,RCP26,e_hype
449,ohrid,2028,30,0.0,RCP26,e_hype
450,ohrid,2028,31,0.0,RCP26,e_hype
451,ohrid,2028,32,0.0,RCP26,e_hype
452,ohrid,2028,33,0.0,RCP26,e_hype
453,ohrid,2028,34,0.0,RCP26,e_hype
454,ohrid,2028,35,0.0,RCP26,e_hype
455,ohrid,2028,36,0.0,RCP26,e_hype
456,ohrid,2028,37,0.0,RCP26,e_hype
457,ohrid,2028,38,0.0,RCP26,e_hype
458,ohrid,2028,39,0.0,RCP26,e_hype
459,ohrid,2028,40,0.0,RCP26,e_hype
460,ohrid,2028,41,0.0,RCP26,e_hype
461,ohrid,2028,42,0.0,RCP26,e_hype
462,ohrid,2028,43,0.0,RCP26,e_hype
463,ohrid,2028,44,0.0,RCP26,e_hype
464,ohrid,2028,45,0.0,RCP26,e_hype
465,ohrid,2028,46,0.0,RCP26,e_hype
466,ohrid,2028,47,0.0,RCP26,e_hype
467,ohrid,2028,48,0.0,RCP26,e_hype
468,ohrid,2028,49,0.0,RCP26,e_hype
469,ohrid,2028,50,0.0,RCP26,e_hype
470,ohrid,2028,51,0.0,RCP26,e_hype
471,ohrid,2028,52,0.0,RCP26,e_hype
472,ohrid,2029,1,0.0,RCP26,e_hype
473,ohrid,2029,2,0.0,RCP26,e_hype
474,ohrid,2029,3,0.0,RCP26,e_hype
475,ohrid,2029,4,0.0,RCP26,e_hype
476,ohrid,2029,5,0.0,RCP26,e_hype
477,ohrid,2029,6,0.0,RCP26,e_hype
478,ohrid,2029,7,0.0,RCP26,e_hype
